length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
132	3100864	644323	669628	585831	653673	2342539	1215616	1329741	364276	711681	532597	709910	1757124	767335	3399131	710006	730764	657827	719285	6097218	4222568	2446901	392829	805778	590732	782103	1863278	1828372
133	3748486	759950	808543	710383	784609	2403392	1338670	1447094	439023	794557	644746	836870	2260514	838623	4113622	836358	879946	794611	859471	6255225	4666855	2652289	472454	899797	714467	922540	2390369	1995503
134	3845917	777008	828054	731641	824775	2364314	1461374	1565062	460418	813327	665371	885374	2293661	941718	4225694	853591	898872	816007	902470	6129089	5115518	2862278	495285	920444	737025	974243	2421004	2237305
135	3365013	704033	734712	653048	772468	2279153	1590321	1681685	424522	766437	584118	841952	1883929	1094191	3699140	774499	798045	729378	846286	5891271	5584492	3077031	456732	867338	647009	926489	1989237	2589902
136	2906185	653433	649671	590941	729061	2174880	1683902	1765027	393518	734438	508692	797279	1533221	1234290	3192949	720969	708691	662901	801285	5607137	5926061	3220611	423868	831715	564857	878172	1622138	2920273
137	2906474	698360	660943	617448	774875	2035753	1679602	1735176	412101	770244	513516	808649	1520061	1259572	3187924	770511	721627	694928	851127	5265288	5939887	3180722	444422	871198	570990	891828	1611951	2984574
138	3308155	816181	752400	720060	894418	1900488	1601949	1627591	475760	851171	590930	876283	1822942	1170699	3629847	899716	820770	811335	982937	4917091	5665421	2988658	513034	963083	657182	964656	1934504	2785951
139	4027661	963601	890650	874465	1041659	1804490	1524020	1530657	568529	960730	715514	973139	2494170	1081836	4417492	1061347	970831	983562	1143340	4683568	5412823	2806897	612003	1084815	795013	1070938	2644737	2577698
140	4929089	1097585	1049654	1049377	1167087	1806664	1536428	1518688	668126	1080750	859496	1066800	3542917	1091781	5406651	1206071	1142536	1177553	1279679	4703137	5478955	2793038	719559	1223152	953646	1175138	3751038	2600257
141	5637405	1171216	1166596	1179320	1239139	1933811	1642331	1617005	737571	1174712	973832	1133294	4472477	1200554	6193023	1287480	1268189	1319412	1357375	5042284	5880706	2969748	795373	1328311	1080104	1246947	4725899	2857748
142	5892843	1172103	1194835	1219603	1244673	2148350	1798447	1761524	766028	1216013	1012615	1165147	4765183	1344045	6474015	1288786	1299357	1363940	1364547	5610427	6473895	3243082	824598	1373428	1122735	1281712	5030620	3206279
143	5882336	1145718	1173374	1208799	1222528	2371051	1986867	1924597	766050	1214930	1003400	1196947	4614510	1503491	6463285	1261066	1276703	1352903	1340017	6196479	7137888	3548466	824927	1373659	1112343	1316594	4872272	3574435
144	5960718	1141206	1171071	1214737	1218925	2495260	2125796	2045893	780101	1228027	1006742	1256011	4492786	1601288	6550453	1256367	1276004	1361980	1339327	6512944	7656457	3773672	840797	1389125	1116417	1382820	4745938	3818128
145	6075741	1150234	1183052	1227170	1235192	2467541	2167319	2073816	800553	1241695	1013729	1317164	4398337	1618937	6676766	1267526	1287685	1375311	1355981	6450668	7832012	3827073	862398	1404711	1125516	1450068	4646068	3856722
146	6057226	1162444	1180636	1222249	1254941	2334189	2111272	2013149	816522	1228447	1001577	1369180	4133619	1573842	6656655	1281719	1286897	1372270	1377779	6090163	7661695	3719735	879562	1388883	1111825	1506687	4367211	3755819
147	6123122	1202440	1194513	1241140	1307782	2152863	2018099	1944788	847044	1226388	1004997	1431638	4000198	1538949	6731628	1325577	1302028	1395521	1436335	5622381	7348876	3586723	913165	1386279	1117361	1576006	4234383	3682293
148	6418284	1283632	1243855	1302287	1396592	1988305	1938002	1885647	903023	1260636	1046726	1514821	4217915	1532807	7056225	1414798	1354000	1464251	1532359	5187201	7063739	3482392	973318	1424525	1162773	1667903	4467020	3662035
149	6871273	1367278	1302552	1394645	1481971	1841437	1874309	1837782	974602	1316208	1117379	1584790	4716808	1524866	7559693	1505013	1418011	1565389	1626766	4815415	6855748	3395804	1050100	1489380	1241051	1744116	4996886	3642426
150	7428866	1433162	1364365	1496070	1549417	1723581	1844861	1800436	1039598	1386407	1198440	1629640	5452811	1517928	8171234	1578148	1484910	1678682	1698357	4514977	6770168	3336215	1120017	1570186	1328897	1793915	5773763	3638355
151	8094953	1498371	1440676	1609207	1599978	1625633	1858678	1796024	1106193	1480069	1282839	1660714	6476207	1542587	8911985	1648616	1566347	1804480	1754403	4268851	6826542	3327672	1191872	1675159	1424407	1829839	6853590	3703129
152	8703521	1539229	1510395	1702839	1640411	1538944	1884930	1813144	1160091	1561916	1365984	1677503	7505779	1588161	9584292	1692265	1640599	1905162	1799252	4043806	6935871	3364709	1249717	1768558	1514585	1846335	7934740	3819273
153	8780668	1523448	1494383	1694022	1627548	1451287	1909436	1833027	1160627	1563036	1365460	1628870	7728184	1633180	9674020	1674459	1624561	1895630	1784446	3824624	7045549	3406099	1249274	1769475	1514261	1793577	8162443	3932436
154	8515841	1486194	1436361	1632137	1603433	1373568	1932685	1858595	1131976	1504544	1315693	1558748	7219885	1668781	9380266	1637385	1562463	1831603	1760407	3623879	7141111	3458648	1220733	1704949	1460611	1717318	7630657	4018536
155	8497004	1517822	1420510	1635830	1649266	1309513	1951931	1879552	1145786	1489271	1305834	1538339	6735148	1695846	9357156	1672419	1549200	1839150	1812577	3461776	7246810	3498983	1236342	1687517	1451552	1694696	7128187	4090034
156	8929184	1619778	1482534	1732319	1764469	1255187	1957811	1881193	1222633	1545116	1374231	1596752	6663412	1705162	9827707	1785313	1617258	1951354	1938970	3315942	7291995	3509021	1319118	1750466	1528360	1759342	7058690	4108348
