length	BH01_orig	IA05_orig	IA06_orig	IA07_orig	IA08_orig	IC15_orig	IC17_orig	IC20_orig	IC49_orig	IC50_orig	IC51_orig	IC52_orig	IH01_orig	IH02_orig	BH01_frag	IA05_frag	IA06_frag	IA07_frag	IA08_frag	IC15_frag	IC17_frag	IC20_frag	IC49_frag	IC50_frag	IC51_frag	IC52_frag	IH01_frag	IH02_frag
229	797169	57239	41905	31653	40089	35270	49335	59507	85704	50484	56256	65047	1309493	54561	885491	63066	45682	35267	44124	100713	205204	121328	93194	57064	62802	72004	1409123	142322
230	759652	56969	39460	29405	39563	35123	47549	58020	82496	48052	52830	63077	1222018	52931	843721	62742	42769	33019	43662	99909	200240	117897	89699	54671	59075	69922	1314792	138486
231	721945	55035	37069	27355	39120	34730	46870	56510	79718	46015	50148	61077	1132467	51110	802124	60735	40088	30582	43119	99172	196192	115393	86738	52354	55804	67734	1218533	134172
232	683812	53967	34601	25278	38059	34893	46061	54461	77467	43613	46967	60215	1043693	49586	760207	59753	37566	28215	42000	100094	193276	112852	84056	49522	52436	66818	1123817	129636
233	646391	51827	32265	23369	36258	34514	45256	53786	74587	42143	44071	58530	963615	47721	717817	57383	35058	25998	39924	99121	190397	110773	80947	47890	49222	64681	1037350	125586
234	609352	50144	28958	21255	35177	33701	43761	52104	71662	40762	41365	56958	886524	45974	676554	55449	31514	23775	38837	97147	184416	107009	77709	46132	46208	63047	954032	121530
235	575738	48092	27700	19707	33847	32706	41751	49699	68117	38979	38621	55375	817134	44417	639071	53306	29953	21959	37281	93795	176779	102476	74104	44120	43013	61399	880375	117455
236	545097	46480	25384	18427	32980	31542	40755	47946	65699	37770	36362	53574	757174	42497	605014	51329	27442	20653	36311	90500	170417	99328	71325	42586	40520	59298	814772	112667
237	517544	45327	23822	17272	31691	30688	39036	46255	63560	36755	34535	52053	702677	41187	574193	50028	25818	19202	34961	88022	164008	95734	69028	41810	38565	57583	756189	109289
238	496392	44133	22664	16517	30901	29791	38067	44725	62023	35899	32782	50796	653609	40117	550509	48916	24621	18389	34114	85824	158911	93146	67258	40731	36566	56098	703444	105879
239	481056	43790	21913	15531	30453	29179	36962	43959	60193	35703	31938	49914	614733	38946	532562	48414	23731	17403	33596	84718	154111	90365	65382	40536	35577	55377	661660	103222

